studyID	pubMedID	trait	reportedTrait	citation	altmetricScore	ethnicity	initialSampleSize	replicationSampleSize	title	lastUpdated
GCST000445	19597492	Atrial Fibrillation	Atrial Fibrillation	Benjamin et al. 2009	9	European	40518	6218	Variants in ZFHX3 are associated with atrial fibrillation in individuals of European ancestry.	2021-06-24
GCST004295	28416818	Atrial Fibrillation	Atrial Fibrillation	Christophersen et al. 2017	60.07	East Asian|African American or Afro-Caribbean|Hispanic or Latin American|European	133073	36792	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	2021-06-28
GCST004296	28416818	Atrial Fibrillation	Atrial Fibrillation	Christophersen et al. 2017	60.07	East Asian|African American or Afro-Caribbean|Hispanic or Latin American|European	133073	143518	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	2021-06-24
GCST004297	28416818	Atrial Fibrillation	Atrial Fibrillation	Christophersen et al. 2017	60.07	European	118755	NA	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	2021-06-24
GCST004298	28416818	Atrial Fibrillation	Atrial Fibrillation	Christophersen et al. 2017	60.07	East Asian	4130	36792	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	2021-06-24
GCST004299	28416818	Atrial Fibrillation	Atrial Fibrillation	Christophersen et al. 2017	60.07	African American or Afro-Caribbean	5875	889	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	2021-06-28
GCST004300	28416818	Atrial Fibrillation	Incident Atrial Fibrillation	Christophersen et al. 2017	60.07	European	110099	NA	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	2021-06-24
GCST004301	28416818	Atrial Fibrillation	Prevalent Atrial Fibrillation	Christophersen et al. 2017	60.07	European	111432	NA	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	2021-06-24
GCST000602	20173747	Atrial Fibrillation	Atrial Fibrillation	Ellinor et al. 2010	9	European	14179	4771	Common variants in KCNN3 are associated with lone atrial fibrillation.	2021-06-24
GCST001499	22544366	Atrial Fibrillation	Atrial Fibrillation	Ellinor et al. 2012	12.55	European	59133	15411	Meta-analysis identifies six new susceptibility loci for atrial fibrillation.	2021-06-24
GCST000051	17603472	Atrial Fibrillation	Atrial Fibrillation/Atrial Flutter	Gudbjartsson et al. 2007	25.08	European|East Asian	5026	20979	Variants conferring risk of atrial fibrillation on chromosome 4q25.	2021-06-24
GCST000446	19597491	Atrial Fibrillation	Atrial Fibrillation	Gudbjartsson et al. 2009	12	European|East Asian	36137	8855	A sequence variant in ZFHX3 on 16q22 associates with atrial fibrillation and ischemic stroke.	2021-06-24
GCST002975	26385043	Atrial Fibrillation	Postoperative Atrial Fibrillation In Coronary Artery Bypass Grafting Surgery	Kertai et al. 2015	8.6	European	877	304	Genome-wide association study of new-onset atrial fibrillation after coronary artery bypass grafting surgery.	2021-06-24
GCST004352	28460022	Atrial Fibrillation	Early Onset Atrial Fibrillation	Lee et al. 2017	2.5	East Asian	4372	2012	Korean atrial fibrillation network genome-wide association study for early-onset atrial fibrillation identifies novel susceptibility loci.	2021-06-24
GCST004373	28416822	Atrial Fibrillation	Atrial Fibrillation	Low et al. 2017	38.2	East Asian|European	36792	257896	Identification of six new genetic loci associated with atrial fibrillation in the Japanese population.	2021-06-24
GCST005306	29290336	Atrial Fibrillation	Atrial Fibrillation	Nielsen et al. 2018	26.35	European	67944	309574	Genome-wide Study of Atrial Fibrillation Identifies Seven Risk Loci and Highlights Biological Pathways and Regulatory Elements Involved in Cardiac Development.	2021-06-24
GCST006414	30061737	Atrial Fibrillation	Atrial Fibrillation	Nielsen et al. 2018	214.374	European	1030836	NA	Biobank-driven genomic discovery yields new insight into atrial fibrillation biology.	2021-06-24
GCST006061	29892015	Atrial Fibrillation	Atrial Fibrillation	Roselli et al. 2018	168.288	European|East Asian|African American or Afro-Caribbean|Hispanic or Latin American	588190	NA	Multi-ethnic genome-wide association study for atrial fibrillation.	2021-06-28
GCST008486	29237688	Atrial Fibrillation	Atrial Fibrillation	Weng et al. 2017	4.6	European	120286	NA	Heritability of Atrial Fibrillation.	2021-06-24
GCST001577	22705344	Atrophic Macular Degeneration	Age-Related Macular Degeneration (Cnv Vs. Ga)	Sobrin et al. 2012	1.5	European	2594	5383	Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.	2021-06-28
GCST001578	22705344	Atrophic Macular Degeneration	Age-Related Macular Degeneration (Geographic Atrophy)	Sobrin et al. 2012	1.5	European	4953	NA	Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.	2021-06-24
GCST006419	30116032	Attempted Suicide	Suicide Attempts	Erlangsen et al. 2018	11.9	European	50264	NA	Genetics of suicide attempts in individuals with and without mental disorders: a population-based genome-wide association study.	2021-06-24
GCST006420	30116032	Attempted Suicide	Affective Disorder And Suicide Attempts	Erlangsen et al. 2018	11.9	European	17596	NA	Genetics of suicide attempts in individuals with and without mental disorders: a population-based genome-wide association study.	2021-06-24
GCST002972	26079190	Attempted Suicide	Suicide Attempts In Major Depressive Disorder	Galfalvy et al. 2015	NA	European	557	NA	A genome-wide association study of suicidal behavior.	2021-06-24
GCST006428	30145303	Attempted Suicide	Suicide Attempts	Kimbrel et al. 2018	4.1	European	1569	NA	A genome-wide association study of suicide attempts and suicidal ideation in U.S. military veterans.	2021-06-24
GCST002503	24964207	Attempted Suicide	Suicide Attempts In Depression Or Bipolar Disorder	Mullins et al. 2014	31.442	European	3270	NA	Genetic relationships between suicide attempts, suicidal ideation and major psychiatric disorders: a genome-wide association and polygenic scoring study.	2021-06-24
GCST008118	31164008	Attempted Suicide	Suicide Attempts In Major Depressive Disorder	Mullins et al. 2019	114.846	European	10408	NA	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores.	2021-06-24
GCST008119	31164008	Attempted Suicide	Suicide Attempts In Bipolar Disorder	Mullins et al. 2019	114.846	European	8764	NA	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores.	2021-06-25
GCST008120	31164008	Attempted Suicide	Suicide Attempts In Schizophrenia	Mullins et al. 2019	114.846	European	4629	NA	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores.	2021-06-28
GCST008122	31164008	Attempted Suicide	Suicide Attempts In Bipolar Disorder Or Schizophrenia	Mullins et al. 2019	114.846	European	13393	NA	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores.	2021-06-25
GCST008123	31164008	Attempted Suicide	Suicide Attempts In Major Depressive Disorder Or Bipolar Disorder Or Schizophrenia	Mullins et al. 2019	114.846	European	23801	NA	GWAS of Suicide Attempt in Psychiatric Disorders and Association With Major Depression Polygenic Risk Scores.	2021-06-25
GCST000854	21041247	Attempted Suicide	Suicide Risk	Perlis et al. 2010	18	European	4390	4347	Genome-wide association study of suicide attempts in mood disorder patients.	2021-06-24
GCST010505	32473944	Attempted Suicide	Suicide Attempts	Russell et al. 2020	1	European	153560	NA	Investigating evidence for a causal association between inflammation and self-harm: A multivariable Mendelian Randomisation study.	2021-06-25
GCST001015	21423239	Attempted Suicide	Suicide Attempts In Bipolar Disorder	Willour et al. 2011	34.5	European	2698	3117	A genome-wide association study of attempted suicide.	2021-06-24
GCST007543	30478444	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Demontis et al. 2018	856.498	European|East Asian	55374	212457	Discovery of the first genome-wide significant risk loci for attention deficit/hyperactivity disorder.	2021-06-24
GCST012098	33495439	Attention Deficit Hyperactivity Disorder	Disruptive Behavior Disorder And Attention Deficit Hyperactivity Disorder	Demontis et al. 2021	108.05	European|East Asian	36430	NA	Risk variants and polygenic architecture of disruptive behavior disorders in the context of attention-deficit/hyperactivity disorder.	2021-07-27
GCST006916	30563984	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Hawi et al. 2018	3.25	European	1688	NA	A case-control genome-wide association study of ADHD discovers a novel association with the tenascin R (TNR) gene.	2021-06-24
GCST010222	32595297	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Kweon et al. 2018	0.25	East Asian	135	NA	Genome-Wide Analysis Reveals Four Novel Loci for Attention-Deficit Hyperactivity Disorder in Korean Youths.	2021-06-25
GCST000684	20732626	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Mick et al. 2010	3	European	1467	NA	Family-based genome-wide association scan of attention-deficit/hyperactivity disorder.	2021-06-24
GCST010289	32279069	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder (Childhood)	Rovira et al. 2020	24.15	European	27154	NA	Shared genetic background between children and adults with attention deficit/hyperactivity disorder.	2021-06-25
GCST010290	32279069	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder (Persistent)	Rovira et al. 2020	24.15	European	22406	NA	Shared genetic background between children and adults with attention deficit/hyperactivity disorder.	2021-06-25
GCST010291	32279069	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Rovira et al. 2020	24.15	European	49560	NA	Shared genetic background between children and adults with attention deficit/hyperactivity disorder.	2021-06-25
GCST001877	23453885	Attention Deficit Hyperactivity Disorder	Autism Spectrum Disorder, Attention Deficit-Hyperactivity Disorder, Bipolar Disorder, Major Depressive Disorder, And Schizophrenia (Combined)	Smoller et al. 2013	662.69	European	61220	NA	Identification of risk loci with shared effects on five major psychiatric disorders: a genome-wide analysis.	2021-06-24
GCST006983	30610198	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder Or Cannabis Use	Soler et al. 2019	36.2	European	83129	NA	Attention-deficit/hyperactivity disorder and lifetime cannabis use: genetic overlap and causality.	2021-06-25
GCST004001	27890468	Attention Deficit Hyperactivity Disorder	Bipolar Disorder Or Attention Deficit Hyperactivity Disorder	van et al. 2016	21.8	European	35622	NA	Genetic Overlap Between Attention-Deficit/Hyperactivity Disorder and Bipolar Disorder: Evidence From Genome-wide Association Study Meta-analysis.	2021-06-24
GCST004002	27890468	Attention Deficit Hyperactivity Disorder	Bipolar Disorder (Age Of Onset <21) Or Attention Deficit Hyperactivity Disorder	van et al. 2016	21.8	European	31139	NA	Genetic Overlap Between Attention-Deficit/Hyperactivity Disorder and Bipolar Disorder: Evidence From Genome-wide Association Study Meta-analysis.	2021-06-24
GCST008097	31006051	Atypical Femoral Fracture	Bisphosphonate-Associated Atypical Femoral Fracture	Kharazmi et al. 2019	2.75	European|Hispanic or Latin American	4942	NA	A Genome-Wide Association Study of Bisphosphonate-Associated Atypical Femoral Fracture.	2021-06-24
GCST008098	31006051	Atypical Femoral Fracture	Atypical Femoral Fracture In Phosphonate Treatment	Kharazmi et al. 2019	2.75	European|Hispanic or Latin American	375	NA	A Genome-Wide Association Study of Bisphosphonate-Associated Atypical Femoral Fracture.	2021-06-24
GCST000411	19456320	Autism	Autism	Ma et al. 2009	3	European	1828	2847	A genome-wide association study of autism reveals a common novel risk locus at 5p14.1.	2021-06-24
GCST002268	24189344	Autism	Autism	Xia et al. 2013	6.25	East Asian|European	2220	5196	Common genetic variants on 1p13.2 associate with risk of autism.	2021-06-24
GCST004520	28540026	Autism Spectrum Disorder	Autism Spectrum Disorder	Anney et al. 2017	28.23	European|Other	15954	157819	Meta-analysis of GWAS of over 16,000 individuals with autism spectrum disorder highlights a novel locus at 10q24.32 and a significant overlap with schizophrenia.	2021-06-25
GCST004521	28540026	Autism Spectrum Disorder	Autism Spectrum Disorder Or Schizophrenia	Anney et al. 2017	28.23	European	17968	NA	Meta-analysis of GWAS of over 16,000 individuals with autism spectrum disorder highlights a novel locus at 10q24.32 and a significant overlap with schizophrenia.	2021-06-28
GCST007556	30804558	Autism Spectrum Disorder	Autism Spectrum Disorder	Grove et al. 2019	266.522	European	46350	144498	Identification of common genetic risk variants for autism spectrum disorder.	2021-06-24
GCST003130	26398136	Autism Spectrum Disorder	Autism Spectrum Disorder	Kuo et al. 2015	2	East Asian	1430	762	Genome-Wide Association Study for Autism Spectrum Disorder in Taiwanese Han Population.	2021-06-24
GCST003104	26314684	Autism Spectrum Disorder	Autism Spectrum Disorder	Liu et al. 2015	0.75	East Asian	776	2061	Genome-wide Association Study of Autism Spectrum Disorder in the East Asian Populations.	2021-06-24
GCST010514	32747698	Autism Spectrum Disorder	Autism Spectrum Disorder	Matoba et al. 2020	12.55	European	55420	NA	Common genetic risk variants identified in the SPARK cohort support DDHD2 as a candidate risk gene for autism.	2021-06-25
GCST010515	32747698	Autism Spectrum Disorder	Autism Spectrum Disorder	Matoba et al. 2020	12.55	European|African unspecified|East Asian	12444	NA	Common genetic risk variants identified in the SPARK cohort support DDHD2 as a candidate risk gene for autism.	2021-06-25
GCST001877	23453885	Autism Spectrum Disorder	Autism Spectrum Disorder, Attention Deficit-Hyperactivity Disorder, Bipolar Disorder, Major Depressive Disorder, And Schizophrenia (Combined)	Smoller et al. 2013	662.69	European	61220	NA	Identification of risk loci with shared effects on five major psychiatric disorders: a genome-wide analysis.	2021-06-24
GCST004381	21829393	Autoantibody Measurement	Insulinoma-Associated Antigen 2 Autoantibody Levels In Type 1 Diabetes	Plagnol et al. 2011	1.5	European	2498	3897	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	2021-06-24
GCST004382	21829393	Autoantibody Measurement	Gastric Parietal Cell Autoantibody Levels In Type 1 Diabetes	Plagnol et al. 2011	1.5	European	4328	NA	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	2021-06-24
GCST006197	29310926	Autoantibody Measurement	Type 1 Diabetes Autoantibodies In High Risk Hla Genotype Individuals (Time To Event)	Sharma et al. 2018	56	European	5806	NA	Identification of non-HLA genes associated with development of islet autoimmunity and type 1 diabetes in the prospective TEDDY cohort.	2021-06-28
GCST011008	32534018	Autoimmune Disease	Autoimmune Traits	Liu et al. 2020	33.75	European	64039	NA	Genetic factors underlying the bidirectional relationship between autoimmune and mental disorders - findings from a Danish population-based study.	2021-06-25
GCST005524	22922229	Autoimmune Thyroid Disease	Autoimmune Thyroid Diseases (Graves Disease Or Hashimoto's Thyroiditis)	Cooper et al. 2012	8.25	European	12097	NA	Seven newly identified loci for autoimmune thyroid disease.	2021-06-28
GCST002705	25429627	Autoimmune Thyroid Disease	Hashimoto Thyroiditis Versus Graves' Disease	Oryoji et al. 2014	3.2	East Asian	523	467	Identification of a Hashimoto thyroiditis susceptibility locus via a genome-wide comparison with Graves' disease.	2021-06-25
GCST010571	32581359	Autoimmune Thyroid Disease	Autoimmune Thyroid Disease	Saevarsdottir et al. 2020	163.3	European	754406	NA	FLT3 stop mutation increases FLT3 ligand level and risk of autoimmune thyroid disease.	2021-06-25
GCST002876	25936594	Autoimmune Thyroid Disease	Type 1 Diabetes And Autoimmune Thyroid Diseases	Tomer et al. 2015	1	European	1073	525	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	2021-06-24
GCST005809	29559738	Autosomal Dominant Compelling Helio-Ophthalmic Outburst Syndrome	Photic Sneeze Reflex	Sasayama et al. 2018	4.25	East Asian	11409	NA	A genome-wide association study on photic sneeze syndrome in a Japanese population.	2021-06-24
GCST007687	30899065	Autosomal Dominant Compelling Helio-Ophthalmic Outburst Syndrome	Photic Sneeze Reflex	Wang et al. 2019	33.35	East Asian	3417	NA	A genome-wide association study on photic sneeze reflex in the Chinese population.	2021-06-24
GCST001494	22541561	Azoospermia	Non-Obstructive Azoospermia	Zhao et al. 2012	NA	East Asian	2665	4137	A genome-wide association study reveals that variants within the HLA region are associated with risk for nonobstructive azoospermia.	2021-06-24
GCST005965	29296818	B-Cell Acute Lymphoblastic Leukemia	B Cell Acute Lymphoblastic Leukaemia (Normal Cytogenetics)	Clay-Gilmour et al. 2017	12.05	European	3220	NA	Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.	2021-06-24
GCST005969	29296818	B-Cell Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia In Childhood (B Cell Precursor)	Clay-Gilmour et al. 2017	12.05	European	3161	NA	Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.	2021-06-24
GCST005970	29296818	B-Cell Acute Lymphoblastic Leukemia	B Cell Acute Lymphoblastic Leukaemia In Young Adulthood	Clay-Gilmour et al. 2017	12.05	European	3187	NA	Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.	2021-06-28
GCST005971	29296818	B-Cell Acute Lymphoblastic Leukemia	B Cell Acute Lymphoblastic Leukaemia In Adulthood	Clay-Gilmour et al. 2017	12.05	European	3179	NA	Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.	2021-06-28
GCST005972	29296818	B-Cell Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (B-Cell Precursor)	Clay-Gilmour et al. 2017	12.05	European	3473	NA	Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.	2021-06-28
GCST002158	23996088	B-Cell Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (B-Cell Precursor)	Migliorini et al. 2013	14.58	European	6381	2937	Variation at 10p12.2 and 10p14 influences risk of childhood B-cell acute lymphoblastic leukemia and phenotype.	2021-06-24
GCST003798	27694927	B-Cell Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia In Childhood (B Cell Precursor)	Vijayakrishnan et al. 2016	5	European	8882	6085	A genome-wide association study identifies risk loci for childhood acute lymphoblastic leukemia at 10q26.13 and 12q23.1.	2021-06-24
GCST009636	31767839	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukaemia (Etv6-Runx1 Positive)	Vijayakrishnan et al. 2019	17.4	European	17602	3826	Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.	2021-06-25
GCST009637	31767839	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukaemia (High-Hyperdiploidy)	Vijayakrishnan et al. 2019	17.4	European	18035	3883	Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.	2021-06-25
GCST009638	31767839	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukaemia	Vijayakrishnan et al. 2019	17.4	European	21987	5698	Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.	2021-06-25
GCST007152	30261039	Back Pain	Chronic Back Pain	Suri et al. 2018	166	European	158025	283752	Genome-wide meta-analysis of 158,000 individuals of European ancestry identifies three loci associated with chronic back pain.	2021-06-24
GCST009083	31092817	Bacterial Meningitis	Bacterial Meningitis	Lees et al. 2019	37.9	European	5985	NA	Joint sequencing of human and pathogen genomes reveals the genetics of pneumococcal meningitis.	2021-06-24
GCST009088	31092817	Bacterial Meningitis	Severe Bacterial Meningitis	Lees et al. 2019	37.9	European	5113	NA	Joint sequencing of human and pathogen genomes reveals the genetics of pneumococcal meningitis.	2021-06-24
GCST006528	29551738	Barrett's Esophagus	Barrett's Esophagus X Pack-Years Of Smoking Exposure Interaction	Dong et al. 2018	0.75	European	5286	NA	Interactions Between Genetic Variants and Environmental Factors Affect Risk of Esophageal Adenocarcinoma and Barrett's Esophagus.	2021-06-25
GCST006529	29551738	Barrett's Esophagus	Barrett's Esophagus X Bmi Interaction	Dong et al. 2018	0.75	European	5286	NA	Interactions Between Genetic Variants and Environmental Factors Affect Risk of Esophageal Adenocarcinoma and Barrett's Esophagus.	2021-06-25
GCST011461	32918910	Barrett's Esophagus	Barrett's Esophagus  Or Esophageal Adenocarcinoma	Dong et al. 2020	1	European	22091	NA	Sex-Specific Genetic Associations for Barrett's Esophagus and Esophageal Adenocarcinoma.	2021-06-28
GCST011463	32918910	Barrett's Esophagus	Barrett's Esophagus Or Esophageal Adenocarcinoma X Sex Interaction (1df Test)	Dong et al. 2020	1	European	22091	NA	Sex-Specific Genetic Associations for Barrett's Esophagus and Esophageal Adenocarcinoma.	2021-06-25
GCST003738	27527254	Barrett's Esophagus	Barrett's Esophagus	Gharahkhani et al. 2016	66.35	European	23326	NA	Genome-wide association studies in oesophageal adenocarcinoma and Barrett's oesophagus: a large-scale meta-analysis.	2021-06-24
GCST003740	27527254	Barrett's Esophagus	Barrett's Esophagus  Or Esophageal Adenocarcinoma	Gharahkhani et al. 2016	66.35	European	27438	NA	Genome-wide association studies in oesophageal adenocarcinoma and Barrett's oesophagus: a large-scale meta-analysis.	2021-06-24
GCST002230	24121790	Barrett's Esophagus	Barrett's Esophagus	Levine et al. 2013	60.6	European	5622	7670	A genome-wide association study identifies new susceptibility loci for esophageal adenocarcinoma and Barrett's esophagus.	2021-06-24
GCST002231	24121790	Barrett's Esophagus	Digestive System Disease (Barrett's Esophagus And Esophageal Adenocarcinoma Combined)	Levine et al. 2013	60.6	European	7135	8547	A genome-wide association study identifies new susceptibility loci for esophageal adenocarcinoma and Barrett's esophagus.	2021-06-28
GCST001675	22961001	Barrett's Esophagus	Barrett's Esophagus	Su et al. 2012	17.47	European	7024	18811	Common variants at the MHC locus and at chromosome 16q24.1 predispose to Barrett's esophagus.	2021-06-24
GCST003726	27539887	Basal Cell Carcinoma	Basal Cell Carcinoma	Chahal et al. 2016	19.35	European	274264.945	17044	Genome-wide association study identifies 14 novel risk alleles associated with basal cell carcinoma.	2021-06-24
GCST004113	28177523	Basal Cell Carcinoma	Basal Cell Carcinoma	Lin et al. 2017	0.75	European	304241	NA	Association between genetic variation within vitamin D receptor-DNA binding sites and risk of basal cell carcinoma.	2021-06-24
GCST008871	31174203	Basal Cell Carcinoma	Basal Cell Carcinoma	Liyanage et al. 2019	47.78	European	651138	NA	Combined analysis of keratinocyte cancers identifies novel genome-wide loci.	2021-06-25
GCST001124	21700618	Basal Cell Carcinoma	Basal Cell Carcinoma	Nan et al. 2011	NA	European	8058	6271	Genome-wide association study identifies novel alleles associated with risk of cutaneous basal cell carcinoma and squamous cell carcinoma.	2021-06-24
GCST000318	19151717	Basal Cell Carcinoma	Basal Cell Carcinoma	Rafnar et al. 2009	22	European	30395	1575	Sequence variants at the TERT-CLPTM1L locus associate with many cancer types.	2021-06-24
GCST000249	18849993	Basal Cell Carcinoma	Basal Cell Carcinoma	Stacey et al. 2008	NA	European	34047	4060	Common variants on 1p36 and 1q42 are associated with cutaneous basal cell carcinoma but not with melanoma or pigmentation traits.	2021-06-24
GCST001250	21946351	Basal Cell Carcinoma	Basal Cell Carcinoma	Stacey et al. 2011	11.35	European|Other	41735	17607	A germline variant in the TP53 polyadenylation signal confers cancer susceptibility.	2021-06-24
GCST002331	24403052	Basal Cell Carcinoma	Basal Cell Carcinoma	Stacey et al. 2014	0.5	European	113616	6090	Germline sequence variants in TGM3 and RGS22 confer risk of basal cell carcinoma.	2021-06-24
GCST002842	25855136	Basal Cell Carcinoma	Basal Cell Carcinoma	Stacey et al. 2015	12.75	European	270930	6224	New basal cell carcinoma susceptibility loci.	2021-06-24
GCST006146	29724592	Behavior	Behavioural Changes In Frontotemporal Lobe Dementia	Pottier et al. 2018	31	European	382	NA	Potential genetic modifiers of disease risk and age at onset in patients with frontotemporal lobar degeneration and GRN mutations: a genome-wide association study.	2021-06-24
GCST002824	25799145	Behcet's Syndrome	Behcet's Disease	Kappen et al. 2015	1.25	Other|Asian unspecified|Greater Middle Eastern (Middle Eastern North African or Persian)|Hispanic or Latin American|European|South East Asian|East Asian	6179	3934	Genome-wide association study in an admixed case series reveals IL12A as a new candidate in Behçet disease.	2021-06-24
GCST001804	23291587	Behcet's Syndrome	Behcet's Disease	Kirino et al. 2013	21.42	Other|East Asian	2493	2791	Genome-wide association analysis identifies new susceptibility loci for Behçet's disease and epistasis between HLA-B*51 and ERAP1.	2021-06-24
GCST000728	20622879	Behcet's Syndrome	Behcet's Disease	Mizuki et al. 2010	NA	East Asian|Other	1348	2753	Genome-wide association studies identify IL23R-IL12RB2 and IL10 as Behçet's disease susceptibility loci.	2021-06-24
GCST012073	33393726	Behcet's Syndrome	Behcet's Disease	Ortiz et al. 2021	7.5	European|East Asian|Greater Middle Eastern (Middle Eastern North African or Persian)|Other	8982	NA	Genetic association of a gain of function interferon gamma receptor 1 (IFNGR1) polymorphism and the intergenic region LNCAROD/DKK1 with Behçet's disease.	2021-07-27
GCST007551	27548383	Behcet's Syndrome	Behcet's Disease	Ortiz-Fernández et al. 2016	1	European	1795	735	Genetic Analysis with the Immunochip Platform in Behçet Disease. Identification of Residues Associated in the HLA Class I Region and New Susceptibility Loci.	2021-06-24
GCST009887	24326010	Behcet's Syndrome	Behcet's Disease	Xavier et al. 2013	1.35	Greater Middle Eastern (Middle Eastern North African or Persian)|Other	586	3709	FUT2: filling the gap between genes and environment in Behçet's disease?	2021-06-25
GCST011354	33602968	Bell's Palsy	Bell's Palsy	Skuladottir et al. 2021	6.35	European	1016234	NA	A meta-analysis uncovers the first sequence variant conferring risk of Bell's palsy.	2021-06-25
GCST007507	30410027	Benign Prostatic Hyperplasia	Benign Prostatic Hyperplasia And Lower Urinary Tract Symptoms	Gudmundsson et al. 2018	10	European	301162	NA	Genome-wide associations for benign prostatic hyperplasia reveal a genetic correlation with serum levels of PSA.	2021-06-24
GCST007512	30410027	Benign Prostatic Hyperplasia	Benign Prostatic Hyperplasia And Lower Urinary Tract Symptoms (Prostate Cancer Excluded)	Gudmundsson et al. 2018	10	European	295351	NA	Genome-wide associations for benign prostatic hyperplasia reveal a genetic correlation with serum levels of PSA.	2021-06-24
GCST008169	30988330	Benign Prostatic Hyperplasia	Benign Prostatic Hyperplasia	Hellwege et al. 2019	0.5	European|African unspecified	10419	NA	Heritability and genome-wide association study of benign prostatic hyperplasia (BPH) in the eMERGE network.	2021-06-28
GCST004638	28656603	Benign Prostatic Hyperplasia	Benign Prostatic Hyperplasia And/Or Lower Urinary Tract Symptoms	Na et al. 2017	2.25	European	4119	960	A genetic variant near GATA3 implicated in inherited susceptibility and etiology of benign prostatic hyperplasia (BPH) and lower urinary tract symptoms (LUTS).	2021-06-24
GCST009006	27894865	Bicuspid Aortic Valve	Bicuspid Aortic Valve Without Aortic Dilation	Gago-Díaz et al. 2016	3.5	European	1049	2388	The genetic component of bicuspid aortic valve and aortic dilation. An exome-wide association study.	2021-06-25
GCST006390	30102696	Biliary Atresia	Biliary Atresia	Chen et al. 2018	2	European	2059	368	A genome-wide association study identifies a susceptibility locus for biliary atresia on 2p16.1 within the gene EFEMP1.	2021-06-24
GCST000681	20460270	Biliary Atresia	Biliary Atresia	Garcia-Barceló et al. 2010	NA	East Asian	762	214	Genome-wide association study identifies a susceptibility locus for biliary atresia on 10q24.2.	2021-06-24
GCST000408	19458352	Biliary Liver Cirrhosis	Primary Biliary Cholangitis	Hirschfield et al. 2009	21.176	European	2012	1732	Primary biliary cirrhosis associated with HLA, IL12A, and IL12RB2 variants.	2021-06-24
GCST000733	20639880	Biliary Liver Cirrhosis	Primary Biliary Cholangitis	Liu et al. 2010	NA	European	1398	4187	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	2021-06-24
GCST001010	21399635	Biliary Liver Cirrhosis	Primary Biliary Cholangitis	Mells et al. 2011	15	European	7003	3134	Genome-wide association study identifies 12 new susceptibility loci for primary biliary cirrhosis.	2021-06-24
GCST001685	23000144	Biliary Liver Cirrhosis	Primary Biliary Cholangitis	Nakamura et al. 2012	4.5	East Asian	963	1402	Genome-wide association study identifies TNFSF15 and POU2AF1 as susceptibility loci for primary biliary cirrhosis in the Japanese population.	2021-06-28
GCST005386	29391396	Binge Eating	Binge Eating Behaviour And Bipolar Disorder	McElroy et al. 2018	1.25	European	2209	NA	Bipolar disorder with binge eating behavior: a genome-wide association study implicates PRR5-ARHGAP8.	2021-06-24
