"studyID","pubMedID","trait","citation","studyScore","ethnicity","cohort","title","lastUpdated"
"GCST004147","28166215","chronic obstructive pulmonary disease","Hobbs BD 2017","232.4","African American or Afro-Caribbean|Hispanic or Latin American|European|East Asian",82438,"Genetic loci associated with chronic obstructive pulmonary disease overlap with loci for lung function and pulmonary fibrosis.","2020-05-09"
"GCST007692","30804561","chronic obstructive pulmonary disease","Sakornsakolpat P 2019","106.25","European|East Asian|African American or Afro-Caribbean|Hispanic or Latin American",257811,"Genetic landscape of chronic obstructive pulmonary disease identifies heterogeneous cell-type and phenotype associations.","2020-05-09"
"GCST007444","30643255","chronic rhinosinusitis","Kristjansson RP 2019","37.4","European",765694,"A loss-of-function variant in ALOX15 protects against nasal polyps and chronic rhinosinusitis.","2020-05-09"
"GCST004343","28374850","chronic venous insufficiency","Ellinghaus E 2017","3.5","European",10034,"Genome-wide association analysis for chronic venous disease identifies EFEMP1 and KCNH8 as susceptibility loci.","2020-05-08"
"GCST007565","30696823","chronotype measurement","Jones SE 2019","1756.44","European",651295,"Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms.","2020-05-10"
"GCST007576","30696823","chronotype measurement","Jones SE 2019","1756.44","European",697832,"Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms.","2020-05-10"
"GCST003429","26835600","circadian rhythm","Hu Y 2016","1287.334","European",89283,"GWAS of 89,283 individuals identifies genetic variants associated with self-reporting of being a morning person.","2020-05-08"
"GCST003454","26955885","circadian rhythm","Lane JM 2016","46.98","European",35672,"Genome-wide association analysis identifies novel loci for chronotype in 100,420 individuals from the UK Biobank.","2020-05-08"
"GCST003838","27494321","circadian rhythm","Jones SE 2016","107.43","European",114765,"Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci.","2020-05-08"
"GCST001928","23535911","cirrhosis of liver","Kitamoto T 2013","0.5","East Asian",2510,"Genome-wide scan revealed that polymorphisms in the PNPLA3, SAMM50, and PARVB genes are associated with development and progression of nonalcoholic fatty liver disease in Japan.","2020-05-08"
"GCST000353","19270707","cleft lip","Birnbaum S 2009","19","European",1807,"Key susceptibility locus for nonsyndromic cleft lip with or without cleft palate on chromosome 8q24.","2020-05-07"
"GCST000547","20023658","cleft lip","Mangold E 2009","15","European",2372,"Genome-wide association study identifies two susceptibility loci for nonsyndromic cleft lip with or without cleft palate.","2020-05-07"
"GCST000673","20436469","cleft lip","Beaty TH 2010","6","Asian unspecified|South Asian|Other|European",9978,"A genome-wide association study of cleft lip with and without cleft palate identifies risk variants near MAFB and ABCA4.","2020-05-07"
"GCST001628","22863734","cleft lip","Ludwig KU 2012","9.5","European|East Asian",3178,"Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.","2020-05-08"
"GCST002811","25775280","cleft lip","Sun Y 2015","2","East Asian",5643,"Genome-wide association study identifies a new susceptibility locus for cleft lip with or without a cleft palate.","2020-05-10"
"GCST004166","28232668","cleft lip","Yu Y 2017","7","East Asian",11972,"Genome-wide analyses of non-syndromic cleft lip with palate identify 14 novel loci and genetic heterogeneity.","2020-05-10"
"GCST009357","31609978","cleft lip","Huang L 2019","7","East Asian",12363,"Genetic factors define CPO and CLO subtypes of nonsyndromicorofacial cleft.","2020-05-10"
"GCST002348","24516586","cleft palate","Wu T 2014",NA,"Asian unspecified|European|African American or Afro-Caribbean|South East Asian|Hispanic or Latin American|Other",550,"Evidence of gene-environment interaction for two genes on chromosome 4 and environmental tobacco smoke in controlling the risk of nonsyndromic cleft palate.","2020-05-07"
"GCST005946","27018472","cleft palate","Leslie EJ 2016","6.75","European|Hispanic or Latin American|East Asian|South East Asian|Sub-Saharan African|African American or Afro-Caribbean|African unspecified",3747,"A Genome-wide Association Study of Nonsyndromic Cleft Palate Identifies an Etiologic Missense Variant in GRHL3.","2020-05-08"
"GCST005947","27018472","cleft palate","Leslie EJ 2016","6.75","European|Hispanic or Latin American|East Asian|South East Asian|Sub-Saharan African|African American or Afro-Caribbean|African unspecified",3936,"A Genome-wide Association Study of Nonsyndromic Cleft Palate Identifies an Etiologic Missense Variant in GRHL3.","2020-05-09"
"GCST005948","27018472","cleft palate","Leslie EJ 2016","6.75","European|Hispanic or Latin American|East Asian|South East Asian|Sub-Saharan African",189,"A Genome-wide Association Study of Nonsyndromic Cleft Palate Identifies an Etiologic Missense Variant in GRHL3.","2020-05-09"
"GCST009356","31609978","cleft palate","Huang L 2019","7","East Asian",12216,"Genetic factors define CPO and CLO subtypes of nonsyndromicorofacial cleft.","2020-05-10"
"GCST003279","27179730","clinical ideal cardiovascular health","Allen NB 2016","3.75","European",12230,"Genetic loci associated with ideal cardiovascular health: A meta-analysis of genome-wide association studies.","2020-05-08"
"GCST005338","29331962","clinically amyopathic dermatomyositis","Kochi Y 2018","5.25","East Asian|European",6408,"Splicing variant of WDFY4 augments MDA5 signalling and the risk of clinically amyopathic dermatomyositis.","2020-05-08"
"GCST003900","27957625","Cluster headache","Bacchelli E 2016","1.5","European",458,"A genome-wide analysis in cluster headache points to neprilysin and PACAP receptor gene variants.","2020-05-08"
"GCST008235","31201950","cognitive impairment","Lutz MW 2019","16.25","European",6545,"Analysis of pleiotropic genetic effects on cognitive impairment, systemic inflammation, and plasma lipids in the Health and Retirement Study.","2020-05-10"
"GCST004407","28447399","cognitive impairment measurement","Jia P 2017","10.75","African American or Afro-Caribbean|European|Hispanic or Latin American",1049,"Genome-wide association study of HIV-associated neurocognitive disorder (HAND): A CHARTER group study.","2020-05-08"
"GCST007921","31089239","colonic diverticula","Choe EK 2019",NA,"East Asian",2619,"Genome-wide association study of right-sided colonic diverticulosis in a Korean population.","2020-05-09"
"GCST004167","28295283","colonic neoplasm","Wang H 2017","1.35","African American or Afro-Caribbean",7907,"Novel colon cancer susceptibility variants identified from a genome-wide association study in African Americans.","2020-05-08"
"GCST007856","30510241","colorectal adenoma","Huyghe JR 2018","177.53","European|East Asian",125478,"Discovery of common and rare genetic risk variants for colorectal cancer.","2020-05-10"
"GCST000052","17618283","colorectal cancer","Zanke BW 2007","15","European",15259,"Genome-wide association scan identifies a colorectal cancer susceptibility locus on chromosome 8q24.","2020-05-07"
"GCST000053","17618284","colorectal cancer","Tomlinson I 2007","20","European",14470,"A genome-wide association scan of tag SNPs identifies a susceptibility variant for colorectal cancer at 8q24.21.","2020-05-07"
"GCST000113","17934461","colorectal cancer","Broderick P 2007",NA,"European",15347,"A genome-wide association study shows that common alleles of SMAD7 influence colorectal cancer risk.","2020-05-07"
"GCST000168","18372901","colorectal cancer","Tenesa A 2008","15","European|East Asian",33810,"Genome-wide association scan identifies a colorectal cancer susceptibility locus on 11q23 and replicates risk loci at 8q24 and 18q21.","2020-05-08"
"GCST000169","18372905","colorectal cancer","Tomlinson IP 2008","11.25","European",37247,"A genome-wide association study identifies colorectal cancer susceptibility loci on chromosomes 10p14 and 8q23.3.","2020-05-10"
"GCST000270","19011631","colorectal cancer","Houlston RS 2008","3.25","European",41041,"Meta-analysis of genome-wide association data identifies four new susceptibility loci for colorectal cancer.","2020-05-08"
"GCST000843","20972440","colorectal cancer","Houlston RS 2010","10.33","European",38382,"Meta-analysis of three genome-wide association studies identifies susceptibility loci for colorectal cancer at 1q41, 3q26.2, 12q13.13 and 20q13.33.","2020-05-07"
"GCST000948","21242260","colorectal cancer","Cui R 2011","3.25","East Asian",11263,"Common variant in 6q26-q27 is associated with distal colon cancer in an Asian population.","2020-05-07"
"GCST001787","23266556","colorectal cancer","Peters U 2012","17.2","East Asian|European",37523,"Identification of Genetic Susceptibility Loci for Colorectal Tumors in a Genome-Wide Meta-analysis.","2020-05-08"
"GCST001792","23263487","colorectal cancer","Jia WH 2012","2.5","East Asian|European",45187,"Genome-wide association analyses in East Asians identify new susceptibility loci for colorectal cancer.","2020-05-08"
"GCST002340","24448986","colorectal cancer","Zhang B 2014",NA,"East Asian",19179,"Genome-wide association study identifies a new SMAD7 risk variant associated with colorectal cancer risk in East Asians.","2020-05-08"
"GCST002411","24737748","colorectal cancer","Whiffin N 2014","0.5","European",43417,"Identification of susceptibility loci for colorectal cancer in a genome-wide meta-analysis.","2020-05-08"
"GCST002415","24743840","colorectal cancer","Figueiredo JC 2014","76.844","European",18404,"Genome-wide diet-gene interaction analyses for risk of colorectal cancer.","2020-05-08"
"GCST002454","24836286","colorectal cancer","Zhang B 2014","10","East Asian|European",82154,"Large-scale genetic study in East Asians identifies six new loci associated with colorectal cancer risk.","2020-05-07"
"GCST002528","25023989","colorectal cancer","Schmit SL 2014","3","Other|European",5921,"A novel colorectal cancer risk locus at 4q32.2 identified from an international genome-wide association study.","2020-05-08"
"GCST002561","25105248","colorectal cancer","Wang H 2014","4.6","East Asian|African American or Afro-Caribbean|European",48054,"Trans-ethnic genome-wide association study of colorectal cancer identifies a new susceptibility locus in VTI1A.","2020-05-07"
"GCST002919","25990418","colorectal cancer","Al-Tassan NA 2015","6.2","European",17556,"A new GWAS and meta-analysis with 1000Genomes imputation identifies novel risk variants for colorectal cancer.","2020-05-09"
"GCST003017","26151821","colorectal cancer","Schumacher FR 2015","23.2","European|East Asian",52649,"Genome-wide association study of colorectal cancer identifies six new susceptibility loci.","2020-05-08"
"GCST003208","26621817","colorectal cancer","Cheng TH 2015","2.25","European",52512,"Meta-analysis of genome-wide association studies identifies common susceptibility polymorphisms for colorectal and endometrial cancer near SH2B3 and TSHZ1.","2020-05-09"
"GCST003209","26621817","colorectal cancer","Cheng TH 2015","2.25","European",21333,"Meta-analysis of genome-wide association studies identifies common susceptibility polymorphisms for colorectal and endometrial cancer near SH2B3 and TSHZ1.","2020-05-09"
"GCST003230","26586795","colorectal cancer","Phipps AI 2015","2","European",897,"Common genetic variation and survival after colorectal cancer diagnosis: a genome-wide analysis.","2020-05-08"
"GCST003231","26586795","colorectal cancer","Phipps AI 2015","2","European",6048,"Common genetic variation and survival after colorectal cancer diagnosis: a genome-wide analysis.","2020-05-08"
"GCST003420","27207650","colorectal cancer","Schmit SL 2016","7","Hispanic or Latin American",5941,"Genome-wide association study of colorectal cancer in Hispanics.","2020-05-08"
"GCST003494","27145994","colorectal cancer","Wang M 2016","0.5","East Asian|European",16655,"Common genetic variation in ETV6 is associated with colorectal cancer susceptibility.","2020-05-08"
"GCST003799","26965516","colorectal cancer","Zeng C 2016","2","East Asian",50176,"Identification of Susceptibility Loci and Genes for Colorectal Cancer Risk.","2020-05-08"
"GCST004168","28295283","colorectal cancer","Wang H 2017","1.35","African American or Afro-Caribbean|Hispanic or Latin American",14579,"Novel colon cancer susceptibility variants identified from a genome-wide association study in African Americans.","2020-05-08"
"GCST004895","28960316","colorectal cancer","Tanskanen T 2017","3","European",39786,"Genome-wide association study and meta-analysis in Northern European populations replicate multiple colorectal cancer risk loci.","2020-05-08"
"GCST005591","29471430","colorectal cancer","Tanikawa C 2018","0.5","East Asian",44916,"GWAS Identifies Two Novel Colorectal Cancer Loci at 16q24.1 and 20q13.12.","2020-05-09"
"GCST005856","28779025","colorectal cancer","Alberts R 2017","5.8","European",2949,"Genetic association analysis identifies variants associated with disease progression in primary sclerosing cholangitis.","2020-05-08"
"GCST006131","29917119","colorectal cancer","Schmit SL 2018","20.9","European|East Asian|Hispanic or Latin American|African American or Afro-Caribbean",163315,"Novel Common Genetic Susceptibility Loci for Colorectal Cancer.","2020-05-09"
"GCST006411","29942513","colorectal cancer","Penney ME 2018","0.75","European",505,"Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.","2020-05-09"
"GCST007552","30529582","colorectal cancer","Lu Y 2018","10.25","East Asian",70506,"Large-scale Genome-wide Association Study of East Asians Identifies Loci Associated With Risk for Colorectal Cancer.","2020-05-10"
"GCST007992","31089142","colorectal cancer","Law PJ 2019","20.55","European",92967,"Association analyses identify 31 new risk loci for colorectal cancer susceptibility.","2020-05-10"
"GCST009869","31826910","colorectal cancer","Lu Y 2019","1.85","East Asian|European",197750,"Identification of novel loci and new risk variant in known loci for colorectal cancer risk in East Asians.","2020-05-10"
"GCST002729","25557950","complicated disease course","Alonso A 2015","10.75","European",2386,"Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.","2020-05-08"
"GCST000714","20585324","conduct disorder","Dick DM 2010","3","European|African American or Afro-Caribbean|Other",3963,"Genome-wide association study of conduct disorder symptomatology.","2020-05-07"
"GCST002035","23708191","congenital heart disease","Cordell HJ 2013","49.25","European",10124,"Genome-wide association study of multiple congenital heart disease phenotypes identifies a susceptibility locus for atrial septal defect at chromosome 4p16.","2020-05-08"
"GCST002036","23708190","congenital heart malformation","Hu Z 2013","4","East Asian",8217,"A genome-wide association study identifies two risk loci for congenital heart malformations in Han Chinese populations.","2020-05-08"
"GCST003419","26965164","congenital left-sided heart lesions","Hanchard NA 2016","1.25","European",8794,"A genome-wide association study of congenital cardiovascular left-sided lesions shows association with a locus on chromosome 20.","2020-05-08"
"GCST002108","23921680","contact dermatitis due to nickel","Kim DS 2013",NA,"East Asian",76,"A genome-wide association study in Koreans identifies susceptibility loci for allergic nickel dermatitis.","2020-05-07"
"GCST005803","29422769","corneal astigmatism","Shah RL 2018","1","European|Asian unspecified",31370,"A genome-wide association study of corneal astigmatism: The CREAM Consortium.","2020-05-08"
"GCST007157","30306274","corneal astigmatism","Shah RL 2018","3","European",86335,"Genome-wide association studies for corneal and refractive astigmatism in UK Biobank demonstrate a shared role for myopia susceptibility loci.","2020-05-09"
"GCST002026","23677057","coronary aneurysm","Kim JJ 2013",NA,"East Asian",363,"Identification of KCNN2 as a susceptibility locus for coronary artery aneurysms in Kawasaki disease using genome-wide association analysis.","2020-05-08"
"GCST003560","27171184","coronary aneurysm","Kuo HC 2016",NA,"East Asian",157,"Genome-Wide Association Study Identifies Novel Susceptibility Genes Associated with Coronary Artery Aneurysm Formation in Kawasaki Disease.","2020-05-10"
"GCST007192","30267110","coronary aneurysm","Kwon YC 2018","0.25","",792,"Identification of the TIFAB Gene as a Susceptibility Locus for Coronary Artery Aneurysm in Patients with Kawasaki Disease.","2020-05-09"
"GCST006435","30103242","coronary artery bypass","Karhausen JA 2018",NA,"European",590,"Genome-Wide Association Study Links Receptor Tyrosine Kinase Inhibitor Sprouty 2 to Thrombocytopenia after Coronary Artery Bypass Surgery.","2020-05-09"
"GCST003116","26343387","coronary artery disease","Nikpay M 2015","198.986","European|African American or Afro-Caribbean|Hispanic or Latin American|South Asian|Greater Middle Eastern (Middle Eastern North African or Persian)|East Asian",187599,"A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.","2020-05-09"
"GCST003470","26708285","coronary artery disease","Wakil SM 2016","172.6","Greater Middle Eastern (Middle Eastern North African or Persian)",5668,"A genome-wide association study reveals susceptibility loci for myocardial infarction/coronary artery disease in Saudi Arabs.","2020-05-08"
"GCST004787","28714975","coronary artery disease","Nelson CP 2017","45.65","European",340599,"Association analyses based on false discovery rate implicate new loci for coronary artery disease.","2020-05-08"
"GCST005172","29263402","coronary artery disease","Han Y 2017","2.6","East Asian|South Asian|South East Asian",11684,"Genome-wide association study identifies a missense variant at APOA5 for coronary artery disease in Multi-Ethnic Cohorts from Southeast Asia.","2020-05-08"
"GCST005582","29472232","coronary artery disease","Li Y 2018","3.6","East Asian",21828,"Genome-Wide Association and Functional Studies Identify SCML4 and THSD7A as Novel Susceptibility Genes for Coronary Artery Disease.","2020-05-09"
"GCST006281","29695241","coronary artery disease","Charmet R 2018","2.25","European",6754,"Novel risk genes identified in a genome-wide association study for coronary artery disease in patients with type 1 diabetes.","2020-05-09"
"GCST006405","30003307","coronary artery disease","Fall T 2018","17.4","European",15666,"Genome-wide association study of coronary artery disease among individuals with diabetes: the UK Biobank.","2020-05-09"
"GCST007230","30563176","coronary artery disease","Westermair AL 2018","0.75","European",342,"Association of Genetic Variation at AQP4 Locus with Vascular Depression.","2020-05-10"
"GCST007990","28714974","coronary artery disease","Klarin D 2017","98.95","European",304591,"Genetic analysis in UK Biobank links insulin resistance and transendothelial migration pathways to coronary artery disease.","2020-05-10"
"GCST009879","30402224","coronary artery disease","Yamada Y 2018",NA,"East Asian",7256,"Identification of 26 novel loci that confer susceptibility to early-onset coronary artery disease in a Japanese population.","2020-05-10"
"GCST004224","28355232","coronary atherosclerosis measurement","Ward-Caviness CK 2017","1.75","African American or Afro-Caribbean|European",2100,"A genome-wide trans-ethnic interaction study links the PIGR-FCAMR locus to coronary atherosclerosis via interactions between genetic variants and residential exposure to traffic.","2020-05-08"
"GCST000045","17554300","coronary heart disease","Wellcome Trust Case Control Consortium 2007","132.25","European",6871,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-07"
"GCST000057","17634449","coronary heart disease","Samani NJ 2007","22.25","European",7383,"Genomewide association analysis of coronary artery disease.","2020-05-09"
"GCST000338","19198612","coronary heart disease","Erdmann J 2009","16","European",40773,"New susceptibility locus for coronary artery disease on chromosome 3q22.3.","2020-05-07"
"GCST000875","21088011","coronary heart disease","Erdmann J 2010","4","European",19036,"Genome-wide association study identifies a new locus for coronary artery disease on chromosome 10p11.23.","2020-05-07"
"GCST000945","21239051","coronary heart disease","Reilly MP 2011","4.75","European",19776,"Identification of ADAMTS7 as a novel locus for coronary atherosclerosis and association of ABO with myocardial infarction in the presence of coronary atherosclerosis: two genome-wide association studies.","2020-05-08"
"GCST000946","21239051","coronary heart disease","Reilly MP 2011","4.75","European",9427,"Identification of ADAMTS7 as a novel locus for coronary atherosclerosis and association of ABO with myocardial infarction in the presence of coronary atherosclerosis: two genome-wide association studies.","2020-05-08"
"GCST000972","21347282","coronary heart disease","Lettre G 2011","9","African American or Afro-Caribbean",7563,"Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project.","2020-05-07"
"GCST000998","21378990","coronary heart disease","Schunkert H 2011","86.82","European",143677,"Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.","2020-05-09"
"GCST000999","21378988","coronary heart disease","Coronary Artery Disease (C4D) Genetics Consortium 2011","11.562","European|South Asian",71075,"A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.","2020-05-09"
"GCST001079","21606135","coronary heart disease","Wild PS 2011","3","European",59789,"A genome-wide association study identifies LIPA as a susceptibility gene for coronary artery disease.","2020-05-09"
"GCST001260","21971053","coronary heart disease","Takeuchi F 2011","1","East Asian",12071,"Genome-wide association study of coronary artery disease in the Japanese.","2020-05-09"
"GCST001401","22319020","coronary heart disease","Davies RW 2012","0.5","European",24981,"A genome-wide association study for coronary artery disease identifies a novel susceptibility locus in the major histocompatibility complex.","2020-05-07"
"GCST001581","22745674","coronary heart disease","Hager J 2012",NA,"Greater Middle Eastern (Middle Eastern North African or Persian)",4496,"Genome-wide association study in a Lebanese cohort confirms PHACTR1 as a major determinant of coronary artery stenosis.","2020-05-08"
"GCST001587","22751097","coronary heart disease","Lu X 2012","1","East Asian",33466,"Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.","2020-05-09"
"GCST001845","23364394","coronary heart disease","Lee JY 2013","15.108","East Asian",13742,"A genome-wide association study of a coronary artery disease risk variant.","2020-05-07"
"GCST002289","24262325","coronary heart disease","Dichgans M 2013","9.1","",109124,"Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.","2020-05-08"
"GCST002298","24778558","coronary heart disease","Domarkiene I 2013",NA,"European",126,"RTN4 and FBXL17 Genes are Associated with Coronary Heart Disease in Genome-Wide Association Analysis of Lithuanian Families.","2020-05-08"
"GCST003431","26950853","coronary heart disease","Dehghan A 2016","5.6","European",55170,"Genome-Wide Association Study for Incident Myocardial Infarction and Coronary Heart Disease in Prospective Cohort Studies: The CHARGE Consortium.","2020-05-08"
"GCST000125","18075462","coronary vasospasm","Suzuki S 2007",NA,"East Asian",411,"A novel genetic marker for coronary spasm in women from a genome-wide single nucleotide polymorphism analysis.","2020-05-07"
"GCST003027","26169577","Cough","Mosley JD 2015","15.1","European|African unspecified|Other",12311,"A genome-wide association study identifies variants in KCNIP4 associated with ACE inhibitor-induced cough.","2020-05-08"
"GCST000023","17435756","crohn's disease","Rioux JD 2007","24.58","",3013,"Genome-wide association study identifies new susceptibility loci for Crohn disease and implicates autophagy in disease pathogenesis.","2020-05-07"
"GCST000042","17554300","crohn's disease","Wellcome Trust Case Control Consortium 2007","132.25","European",6693,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-07"
"GCST000207","18587394","crohn's disease","Barrett JC 2008","45.704","European",13532,"Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease.","2020-05-09"
"GCST000212","18723019","crohn's disease","Franke A 2008",NA,"European",3582,"Genome-wide association analysis in sarcoidosis and Crohn's disease unravels a common susceptibility locus on 10p12.2.","2020-05-07"
"GCST000879","21102463","crohn's disease","Franke A 2010","44.218","European",51523,"Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.","2020-05-08"
"GCST001118","21699788","crohn's disease","Okada Y 2011",NA,"East Asian",1727,"HLA-Cw*1202-B*5201-DRB1*1502 haplotype increases risk for ulcerative colitis but reduces risk for Crohn's disease.","2020-05-07"
"GCST001438","22412388","crohn's disease","Kenny EE 2012","24.93","European",6089,"A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.","2020-05-10"
"GCST001473","22482804","crohn's disease","Ellinghaus D 2012","7.75","European",32491,"Combined analysis of genome-wide association studies for Crohn disease and psoriasis identifies seven shared susceptibility loci.","2020-05-07"
"GCST001652","22936669","crohn's disease","Juli� A 2012","2.35","European",5526,"A genome-wide association study on a southern European population identifies a new Crohn's disease susceptibility locus at RBX1-EP300.","2020-05-08"
"GCST001729","23128233","crohn's disease","Jostins L 2012","139.426","European",77064,"Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.","2020-05-08"
"GCST001785","23266558","crohn's disease","Yamazaki K 2012","6","East Asian",20712,"A genome-wide association study identifies 2 susceptibility Loci for Crohn's disease in a Japanese population.","2020-05-08"
"GCST002017","23665963","crohn's disease","Dubinsky MC 2013",NA,"European",624,"Multidimensional prognostic risk assessment identifies association between IL12B variation and surgery in Crohn's disease.","2020-05-08"
"GCST002018","23665963","crohn's disease","Dubinsky MC 2013",NA,"European",983,"Multidimensional prognostic risk assessment identifies association between IL12B variation and surgery in Crohn's disease.","2020-05-08"
"GCST002094","23850713","crohn's disease","Yang SK 2013","1.75","East Asian",4753,"Genome-wide association study of Crohn's disease in Koreans revealed three new susceptibility loci and common attributes of genetic susceptibility across ethnic populations.","2020-05-08"
"GCST003044","26192919","crohn's disease","Liu JZ 2015","92.27","European|Greater Middle Eastern (Middle Eastern North African or Persian)|South Asian|East Asian",69268,"Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.","2020-05-09"
"GCST003360","26891255","crohn's disease","Jung ES 2016","0.75","East Asian",3952,"HLA-C*01 is a Risk Factor for Crohn's Disease.","2020-05-08"
"GCST004053","28067912","crohn's disease","Lee JC 2017","150.4","European",2734,"Genome-wide association study identifies distinct genetic contributions to prognosis and susceptibility in Crohn's disease.","2020-05-08"
"GCST004132","28067908","crohn's disease","de Lange KM 2017","140.5","European",40266,"Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.","2020-05-10"
"GCST007216","30500874","crohn's disease","Kakuta Y 2018","2","East Asian",4418,"A genome-wide association study identifying RAP1A as a novel susceptibility gene for Crohn's disease in Japanese individuals.","2020-05-09"
"GCST007229","25108385","crohn's disease","Yang SK 2014","30.35","East Asian",698,"A common missense variant in NUDT15 confers susceptibility to thiopurine-induced leukopenia.","2020-05-09"
"GCST008271","31043678","crohn's disease","Aterido A 2019","4.95","European",150,"Genetic association between CD96 locus and immunogenicity to anti-TNF therapy in Crohn's disease.","2020-05-10"
"GCST008397","31039275","crohn's disease","Park SH 2019","5.3","East Asian",112,"Association of TRAP1 with Infliximab-Induced Mucosal Healing in Crohn's disease.","2020-05-10"
"GCST008485","25489960","crohn's disease","Yang SK 2015",NA,"South Asian",3108,"Immunochip analysis identification of 6 additional susceptibility loci for Crohn's disease in Koreans.","2020-05-08"
"GCST008730","26278503","crohn's disease","Huang C 2015","5.6","African American or Afro-Caribbean",2885,"Characterization of genetic loci that affect susceptibility to inflammatory bowel diseases in African Americans.","2020-05-08"
"GCST009878","29905830","crohn's disease","Lee HS 2018","3.2","East Asian",881,"An Intergenic Variant rs9268877 Between HLA-DRA and HLA-DRB Contributes to the Clinical Course and Long-term Outcome of Ulcerative Colitis.","2020-05-10"
"GCST009861","32019797","cryptosporidiosis","Wojcik GL 2020","9.5","South Asian",1056,"Genome-Wide Association Study of Cryptosporidiosis in Infants Implicates PRKCA.","2020-05-10"
"GCST002884","25827949","cutaneous lupus erythematosus","Kunz M 2015",NA,"European",1920,"Genome-wide association study identifies new susceptibility loci for cutaneous lupus erythematosus.","2020-05-08"
"GCST003269","26626624","cutaneous psoriasis measurement","Stuart PE 2015","5.75","European",23650,"Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.","2020-05-08"
"GCST003655","27424798","cutaneous squamous cell carcinoma","Chahal HS 2016","117.85","European",299480,"Genome-wide association study identifies novel susceptibility loci for cutaneous squamous cell carcinoma.","2020-05-08"
"GCST002025","23670970","cystic fibrosis","Blackman SM 2013","6","",3753,"Genetic modifiers of cystic fibrosis-related diabetes.","2020-05-08"
"GCST007367","30807572","cystic fibrosis associated meconium ileus","Gong J 2019","9.1","European",6770,"Genetic association and transcriptome integration identify contributing genes and tissues at cystic fibrosis modifier loci.","2020-05-09"
"GCST001833","23358160","cytomegalovirus infection","B�rglum AD 2013","15.5","European",9795,"Genome-wide study of association and interaction with maternal cytomegalovirus infection suggests new schizophrenia loci.","2020-05-07"
"GCST002978","26084801","date of diagnosis","Mirabello L 2015","7.5","European|African unspecified|Hispanic or Latin American",935,"A Genome-Wide Scan Identifies Variants in NFIB Associated with Metastasis in Patients with Osteosarcoma.","2020-05-08"
"GCST007987","30804565","daytime rest measurement","Jansen PR 2019","426.222","European",386577,"Genome-wide analysis of insomnia in 1,331,010 individuals identifies new risk loci and functional pathways.","2020-05-09"
"GCST004690","28628665","decreased susceptibility to bacterial infection","Sobota RS 2017","2","",469,"A chromosome 5q31.1 locus associates with tuberculin skin test reactivity in HIV-positive individuals from tuberculosis hyper-endemic regions in east Africa.","2020-05-08"
"GCST008502","31206233","decreased susceptibility to hepatitis C infection","Real LM 2019","4.55","European",831,"A genome-wide association study in low susceptibility to hepatitis C virus infection (GEHEP012 Study).","2020-05-10"
"GCST002752","25599974","delivery measurement","Zhang H 2015","3.6","African American or Afro-Caribbean|European|Hispanic or Latin American|Other",2374,"A genome-wide association study of early spontaneous preterm delivery.","2020-05-08"
"GCST006311","29931343","dental caries","Haworth S 2018","0.75","European",13353,"Consortium genome-wide meta-analysis for childhood dental caries traits.","2020-05-09"
"GCST006312","29931343","dental caries","Haworth S 2018","0.75","European",36040,"Consortium genome-wide meta-analysis for childhood dental caries traits.","2020-05-09"
"GCST007297","30705256","depressive symptom measurement","Koshimizu H 2019","119.3","East Asian",10330,"Genome-wide association study identifies a novel locus associated with psychological distress in the Japanese population.","2020-05-10"
"GCST003522","27153935","dermatomyositis","Zhang CE 2016",NA,"East Asian",1693,"Variation at HLA-DPB1 is associated with dermatomyositis in Chinese population.","2020-05-08"
"GCST006053","26362759","dermatomyositis","Rothwell S 2015","13.1","European",16530,"Dense genotyping of immune-related loci in idiopathic inflammatory myopathies confirms HLA alleles as the strongest genetic risk factor and suggests different genetic background for major clinical subgroups.","2020-05-09"
